"","rep","our_beta0","our_beta1","cc_beta0","cc_beta1","naive_beta0","naive_beta1","gs_beta0","gs_beta1","n","q","our_beta0_se","our_beta1_se","cc_beta0_se","cc_beta1_se","naive_beta0_se","naive_beta1_se","gs_beta0_se","gs_beta1_se"
"1",1,-2.13587624436826,-0.858060158117133,-2.97041446556962,-0.58493359591426,-2.19722457733621,-1.6314168190824,-2.37954613413017,-0.755948081798767,100,0.75,0.361990436100845,0.775402734717747,0.707106638621354,1.22474343097843,0.408248270776385,1.08011794624391,0.447213567144763,0.836659814790827
"2",2,-1.86415883512516,-0.454238581391097,-1.96944064646551,-0.892760234463917,-1.92529086185258,-0.416514944294744,-1.82812711339893,-0.857450231851201,100,0.75,0.311935087315795,0.592394724395609,0.408248277202285,0.816496480444298,0.377964461796544,0.585540016057695,0.333333325421521,0.666666610116727
"3",3,-1.73206375567126,-0.556273747959099,-1.70474809223843,-0.572519192771325,-1.7730673362159,-0.467642353060051,-1.65292302437384,-0.707930976744175,100,0.75,0.296607084158174,0.517788552519012,0.408248283566548,0.64549719891513,0.333333326475793,0.557773328442613,0.333333328560707,0.557773326060492
"4",4,-2.7774961212499,0.570634792204702,-2.86220088092942,0.834052633637139,-2.44234703536919,0.0628009012390287,-2.77258872223975,0.613104472886381,100,0.75,0.536190999359826,0.683686031488011,0.707106672814853,0.836659926256624,0.499999965145025,0.670820348367109,0.577350196828064,0.707106711391426
"5",5,-2.04179861100117,0.20624624000772,-2.16905370036952,0.247241102893268,-2.10006082888257,0.24767673783808,-2.24070968927595,0.467642353060051,100,0.75,0.369592122725157,0.500953307661409,0.499999976928162,0.645497198893351,0.408248273630319,0.540061706314903,0.44721357244893,0.557773328442614
"6",6,-2.65558313969087,0.894711572658192,-2.48490664978799,1.14990558305565,-2.39789527279836,0.788457360364267,-2.52572864430824,0.916290731874146,100,0.75,0.482340033420708,0.587586973056698,0.577350226198631,0.658280548314081,0.447213566354896,0.557773317115099,0.499999960264039,0.591607936933668
"7",7,-2.03325131604795,-0.555011908114089,-2.17475172148399,-0.687449159445428,-2.07944154167978,-0.606135803570347,-2.09714111877918,-0.56544670824625,100,0.75,0.338339489054746,0.659432614946211,0.447213466175166,0.836659865816269,0.377964411400958,0.690065474787451,0.377964410394724,0.690065476391569
"8",8,-1.99169943093363,0.377717048937417,-2.07944154167983,0.374693449441408,-2.12026353620009,0.510825623765987,-2.02438176449681,0.371458740122967,100,0.75,0.341069879919592,0.471386656731714,0.447213577696725,0.605530053020771,0.408248273053244,0.516397763345211,0.377964459369282,0.503952617292215
"9",9,-1.76869483785244,-0.242263187537606,-2.2512917986061,0.197168064910552,-1.90954250488441,-0.127339422376624,-1.94591014905529,-0.0465200156349185,100,0.75,0.296104707645801,0.493298397081796,0.499999776541955,0.670820215339752,0.353553350770414,0.540061687402513,0.353553348758777,0.540061686994028
"10",10,-2.47927469433946,0.963345508484709,-2.30258509299404,0.53899650073268,-2.32238772029022,0.627791999516086,-2.58399755243222,1.0364350437163,100,0.75,0.428296380628636,0.530527980985877,0.499999971725298,0.645497197290807,0.44721356945531,0.557773256232532,0.49999995621954,0.59160790490953
