"","rep","our_beta0","our_beta1","our_beta2","cc_beta0","cc_beta1","cc_beta2","naive_beta0","naive_beta1","naive_beta2","gs_beta0","gs_beta1","gs_beta2","n","q","our_beta0_se","our_beta1_se","our_beta2_se","cc_beta0_se","cc_beta1_se","cc_beta2_se","naive_beta0_se","naive_beta1_se","naive_beta2_se","gs_beta0_se","gs_beta1_se","gs_beta2_se"
"1",1,-2.78798106225506,0.226605907676872,0.341447114748714,-2.26956293099602,-0.172442974477111,0.432039848857788,-2.40433171975678,-0.238561181129997,0.471692941276223,-2.62398990372756,0.150397039004215,0.353011536793531,100,0.75,0.615950851060791,0.889460270120979,0.447475073344932,0.599867307357239,0.867418729440579,0.45054897384289,0.641776290841314,0.956529597246813,0.496159011761072,0.6030245562332,0.847410371523645,0.443344506182662
"2",2,-2.42023025601474,1.08108954004762,0.0463195714807233,-2.53799591072943,1.33614387560546,-0.0562570961500148,-2.46105442552071,1.17958614649248,-0.00438887519346783,-2.48853472655501,1.22226665873585,-0.00393628299107639,100,0.75,0.561334635203892,0.664726954183264,0.219322002897475,0.753650633435698,0.855470611502138,0.272271860161233,0.626102650700999,0.732620590563366,0.245948665220205,0.618171846791363,0.718543641873323,0.23945030002284
"3",3,-2.07741007047499,-0.554751706568308,0.829668911589254,-3.16403724829452,0.807560609370369,0.439071630258595,-1.88464314314189,-1.05915853452665,0.975751527491572,-2.44236557688552,-0.0242278510565753,0.669270419502176,100,0.75,0.475954450476143,0.736297593574592,0.368018493795484,1.00484545302562,1.163874978739,0.53818787263781,0.502713438140494,0.786990919857517,0.451684742957885,0.578450476251113,0.76831573329534,0.416131707949266
"4",4,-1.94269743630027,-0.190976592643817,0.0163714185913359,-1.84085988290347,0.23921849557305,0.0630243164554458,-2.01868583656642,0.17101678530906,-0.00618627954286469,-1.93174497122186,0.045314627165211,0.0288000912441124,100,0.75,0.444747872378408,0.62128220125211,0.34236887561255,0.524957078655723,0.685397435580613,0.344794218550392,0.544416905846625,0.697270346195347,0.351002613924069,0.477326732183901,0.647412862742606,0.346241339361553
"5",5,-1.73547619297675,-1.2942996145799,0.700110375125593,-1.96244032731911,-0.845157469138572,0.607398340346706,-0.976688810382902,-3.32389263292864,1.40307359699709,-2.33430686521421,-0.26567118534715,0.445715765093191,100,0.75,0.565490467706715,0.913651739653843,0.389218595514901,0.750230737627241,1.06394067013529,0.441713045272527,0.491894543610678,1.21769582129712,0.517849987753966,0.749169410749434,0.976987988313197,0.391697805092528
"6",6,-1.776625646879,-0.36319945440728,0.919881654629588,-2.97704972694575,0.513988463679139,1.28176485074683,-1.79423281582974,-0.557759585688566,1.09775176707223,-2.0146866969849,-0.226066054022766,1.01897083987468,100,0.75,0.447584830764632,0.634906563345865,0.276745561946732,1.00022790368531,1.19134334060267,0.52816801159797,0.589983096553447,0.798266909976554,0.336909895454943,0.581959747429421,0.760087807849549,0.32952763453058
"7",7,-1.81304599058292,-0.4522106419718,0.348089421565664,-1.77488952746756,-1.04109681130308,-0.0339957267142236,-2.25233856340911,0.373050912865651,-0.0209423937103731,-1.79898027843015,-0.590335699796873,0.211709113339521,100,0.75,0.358922924293915,0.666028919500328,0.287870515545206,0.433418600787385,0.890074460448809,0.423570833063514,0.489876149627479,0.693174662976415,0.356380307142674,0.357719687211617,0.618584251047069,0.316280967550725
"8",8,-2.27308581135678,0.225351421339016,0.506393834960488,-1.91356423618567,0.238118480163676,0.35349551075969,-1.98145079695857,-0.00404607467567242,0.494068916947919,-1.90387648504136,-0.135168760472048,0.523947357855055,100,0.75,0.522446529840663,0.688563156259767,0.314234375153923,0.530315410626849,0.709830790544096,0.34232797336113,0.541019241875948,0.7244305092593,0.341126138761595,0.459055036843026,0.629730209183899,0.312694909376886
"9",9,-2.74452604778223,0.208948466220066,0.398065748745249,-2.31171943349914,0.0643868264516249,0.133652505917872,-2.22447635356585,-0.410807579092669,0.421207526984958,-2.50154750105218,0.0516349520354972,0.293288820146423,100,0.75,0.577756479766886,0.788969766755461,0.39802210553708,0.595949822212681,0.827950337277081,0.414573631232901,0.608940058339443,0.871482923965945,0.433332245864206,0.588364280963057,0.801580591486056,0.410676421440965
"10",10,-1.77849722826387,-0.353933083019572,0.56982594616523,-1.92253885355056,0.0442576763973074,0.546087703044532,-1.94111974400079,-0.0204137753349316,0.513614055523593,-2.46106723233857,0.797202557680616,0.310380584812453,100,0.75,0.525786637378593,0.80152706115123,0.310868529866156,0.627602200424935,0.90773224838163,0.374783343087376,0.540830773883942,0.762904267001521,0.312824247368655,0.614452710638894,0.788152037059081,0.303519487664329
"11",11,-1.73099574319805,-0.156672119366758,-0.374117805415745,-2.46309852358351,0.591085729955736,-0.556254598781165,-2.16850877425212,0.417103940084596,-0.533973123501147,-1.73765977103622,-0.26853768443221,-0.312913933331319,100,0.75,0.3795279596579,0.515634398918369,0.266231936618703,0.714710633964663,0.844018981370708,0.434024292094825,0.489502843092614,0.597819372142832,0.314771065624557,0.453944639305898,0.632138271586393,0.332080676674694
"12",12,-3.85876190979038,1.61515085608242,-0.0583507334285181,-3.31296617680114,1.48555463459971,0.133952925391396,-3.60525400196323,1.53855785664378,-0.0254170523388259,-3.64406356526299,1.60059559229387,-0.0087928211824673,100,0.75,1.04384889989436,1.16507033731909,0.370198709946455,1.03574713089515,1.16080626228248,0.437156902789312,1.05831597548148,1.19227991291329,0.40231701398897,1.03998302315324,1.16009261691393,0.386280928213181
"13",13,-20.5250597430094,18.3068673732007,-0.0617593089246508,-20.4082707425311,18.4236561235397,-0.129906089390981,-3.29873778776462,0.957133637912935,0.0347828389024464,-20.4075362629703,18.3295028635108,-0.137504062461114,100,0.75,4566.17983407815,4566.17985100144,0.362796292756247,2823.99409436248,2823.99412422875,0.353520799385171,1.06156444056128,1.17169554416833,0.377727344558175,2652.57896777672,2652.57899952393,0.361328999244551
"14",14,-2.50309903535314,0.130542831050668,0.0991254761165047,-3.49502707356324,1.00861218047697,-0.236671788478633,-2.75722744702749,0.320549069145024,0.0209605585007593,-2.763967079175,0.331349182983328,0.0107055574179414,100,0.75,0.657257678114294,0.862307151246359,0.398602145693112,1.12514892967745,1.2981568168956,0.559331599391187,0.776861580381423,0.964584314370445,0.443756078851505,0.7978916215998,1.00194165648439,0.460896409027371
"15",15,-20.036189901227,18.2254895067316,-0.752803467201962,-20.1914675631698,18.0702107165121,0.123407940940687,-20.7616165216987,18.8319242120606,-0.448215626932249,-20.7310081198151,18.8537709148763,-0.452202618845058,100,0.75,2114.45683245833,2114.45685811042,0.444026094427195,2989.287339764,2989.28746232006,0.634335361733327,2540.84375104235,2540.84380020197,0.515322567777081,2440.44348166223,2440.44353063783,0.504280276245823
"16",16,-3.08634477059308,0.712199791770701,0.626806009205692,-2.86854256815068,0.37826365430736,0.832566710190015,-2.81036970528566,0.325033139820231,0.75485759475739,-3.07723171635682,0.673564593907087,0.70782942463703,100,0.75,1.00529373055869,1.13836980058821,0.364239785915817,1.00395252245599,1.16688117827018,0.39818787324287,1.01934167595253,1.16609909159257,0.386862935351218,1.00607940696227,1.12538796124251,0.376311004376165
