"","rep","our_beta0","our_beta1","cc_beta0","cc_beta1","naive_beta0","naive_beta1","gs_beta0","gs_beta1","q","n","b0","our_beta0_se","our_beta1_se","cc_beta0_se","cc_beta1_se","naive_beta0_se","naive_beta1_se","gs_beta0_se","gs_beta1_se"
"1",1,-3.27310280273906,-0.210849745087965,-2.93119375241635,-0.0428770243563749,-3.03495298670716,-0.377294231139943,-3.12578540180199,-0.148660274220461,0.75,390,-2.99573227355399,0.321464197686539,0.501019042694318,0.353553326321562,0.517549069395543,0.316227689613637,0.516397440262142,0.333333227053452,0.503952409719164
"2",2,-3.11358624921582,0.131717857168756,-2.86220088092926,-0.00316957476143596,-3.22457384598153,0.423547188421253,-3.04452243772304,0.139112802462397,0.75,390,-2.99573227355399,0.321469773066509,0.439894058666599,0.353553277500375,0.485912540306352,0.377964167594128,0.468806962836833,0.333333188495825,0.449466433122951
"3",3,-2.58415175244233,0.0843656015711201,-2.43899694848391,0.136411855489874,-2.56494935746152,0.182321556793948,-2.5123056239761,0.0796674027338685,0.75,390,-2.99573227355399,0.249831555581413,0.342697136993381,0.277350078877345,0.378932349344861,0.258198867856844,0.3496029231009,0.258198869666785,0.349602923645059
"4",4,-3.04494377076761,0.255032352197518,-2.98856378407529,0.280513582973102,-3.03388403951825,0.28562741793803,-2.91777073208422,0.0796674027338521,0.75,390,-2.99573227355399,0.313632666869351,0.414600301559773,0.377964392934389,0.492805296595967,0.333333253047007,0.433629007544942,0.316227710470954,0.428174350070227
"5",5,-2.73567096617808,-0.405104196645332,-2.59649771519641,-0.355431935699116,-2.64380793237381,-0.464136331786931,-2.80102665756022,-0.066872244483836,0.75,390,-2.99573227355399,0.238748697580884,0.427463430757196,0.288675087096637,0.475594779132954,0.258198849404162,0.437797408065658,0.27735003822497,0.420622173253837
"6",6,-3.3343920031246,0.313193399972776,-3.35340671782478,0.210692253923167,-3.3473946756682,0.292345824958187,-3.36235754834479,0.323140162851427,0.75,390,-2.99573227355399,0.345446474188623,0.464765465406964,0.447213274965153,0.605529637121662,0.377964208375769,0.50395233391637,0.377964192446532,0.503952325671644
"7",7,-2.85275909607102,-0.481167277205984,-2.88340308858002,-1.00841720940012,-2.9856819377004,-0.325903285271322,-2.90042209374961,-0.554842509180482,0.75,390,-2.99573227355399,0.274287793934786,0.481458738694129,0.353553333575703,0.676999193608795,0.316227699551025,0.492805160722078,0.301511293874595,0.507518833517449
"8",8,-2.94773752302518,0.372480235103161,-2.63254264859405,0.161622240780797,-2.67906266422894,0.0182653479772915,-2.80839817493645,0.26417494799205,0.75,390,-2.99573227355399,0.282166405403055,0.3777350299371,0.301511315831798,0.417423519660737,0.267261214146177,0.385164403943434,0.288675095490004,0.387298291374436
"9",9,-3.14966105374315,-0.479532369200738,-2.84620053958298,-0.310799881566881,-3.10608033072268,-0.189756535280989,-3.11598140170538,-0.169217066093285,0.75,390,-2.99573227355399,0.30455503062788,0.512728601566639,0.333333284130247,0.527046133981658,0.333333233486548,0.503952401559072,0.333333230320522,0.503952405789268
"10",10,-3.41724616824362,0.674640787199744,-3.16003532484436,0.650436062465997,-2.96339689291084,-0.0155282623266809,-3.27714473299062,0.580267832486557,0.75,390,-2.99573227355399,0.345208397449538,0.453026525351903,0.377964217901949,0.492805168933228,0.301511246727263,0.449466458329305,0.353553078595238,0.456435203288448
