"","rep","code","our_beta0","our_beta1","our_beta2","cc_beta0","cc_beta1","cc_beta2","naive_beta0","naive_beta1","naive_beta2","gs_beta0","gs_beta1","gs_beta2","eta0","eta1","eta2","n"
"1",1,0,1.96927422735222,3.02793579275801,4.0019167044842,1.96619597181686,3.02650714920295,4.00449370136861,1.8000827795088,2.66847913349932,4.26763554511119,1.96814744825634,3.02734976536972,4.00290647126321,-2.22345487052126,4.08038941014936,0.392333473880246,100
"2",2,0,2.03357537175466,2.96651369954883,4.00017601332659,2.03127635234045,2.96736580281044,4.00066659814819,2.04548984204435,2.94825384763312,4.00284376984224,2.03253748539012,2.96715333231303,4.00029715524087,-18.8063891921197,21.3971782525948,0.675491867441746,100
"3",3,0,2.0380110793749,2.96094111430414,4.00012332097159,2.06072319697209,2.92311282345442,4.00975145819989,2.03562988625818,2.78232502512035,4.1144623088727,2.0459994658612,2.94824755751893,4.00317191411131,-2.27550166820216,4.42277715045771,0.429028319766871,100
"4",4,0,1.99957734266669,2.99801173480917,4.0008479086702,2.0014140596465,2.99762967871498,4.00009189335724,2.51966122281694,1.94702884677487,4.14763060237113,1.99966047079986,2.99798287042683,4.00082161168031,-1.6493489727214,3.1101099264878,1.33542119492278,100
"5",5,0,1.86961409610515,3.13637422531545,3.99726467468793,1.86846564297791,3.13570377540676,3.99806143708226,1.87147288851387,3.06394896885434,4.03102873246448,1.86914113139867,3.13614099251512,3.99756894660763,-3.12619740598148,4.64146064168569,0.654315225974259,100
"6",6,0,1.96995327165517,3.03715104298239,3.99631743971218,1.96108568357721,3.037692918554,4.00491564603202,2.32326497106738,2.49309135059454,4.07156227188102,1.97143862813879,3.03599771384563,3.99636246306632,-2.06494572077512,4.31787221858479,0.989479887213576,100
"7",7,0,2.01617364896988,2.98580626433822,3.99912670863494,2.00464631982553,2.99803532384588,3.9989277146777,2.05094599964642,2.93549610068497,4.00493609410408,2.01056222235006,2.99142359201165,3.99914237184466,-3.46834232744444,6.38374657044922,0.238330141579692,100
"8",8,0,1.99485871699121,3.01081356963111,3.99754098785456,1.98587492026134,3.01205654910743,4.00139906507232,3.19085483279672,1.49066383135101,4.16232916565916,1.99140434493378,3.01192309153791,3.99872075224145,-3.35388585013157,5.85834450218168,0.25319162856932,100
"9",9,0,2.04235367327272,2.9515397359999,4.0034118945747,2.04176165104866,2.94528590177631,4.00862734448927,2.53501732021292,2.37136420419181,4.05030771051425,2.04318344426886,2.94997821074473,4.00398367106877,-2.64926838776421,5.02929885894249,0.714868465896299,100
"10",10,0,2.01653997581811,2.97955386469517,4.0014974958556,2.19561220377479,2.79636219638123,4.0034109696479,2.88782099194219,2.03849691773154,4.0336144736279,2.02923327369806,2.96515201185157,4.00229868046453,-1.63641695946974,3.79874687387682,0.792437116391222,100
