"","rep","code","our_beta0","our_beta1","our_beta2","cc_beta0","cc_beta1","cc_beta2","naive_beta0","naive_beta1","naive_beta2","gs_beta0","gs_beta1","gs_beta2","eta0","eta1","eta2","n","q"
"1",1,0,1.99750667595421,3.002771382295,3.99991131725149,2.01045311461507,2.99148034756073,3.999421724456,3.63417429122164,1.30874890528224,4.01780480860051,1.99927354960896,3.00134771009395,3.99981234219378,-2.5716005423404,4.7815919631348,0.253901821237603,1000,0.5
"2",2,0,1.99592574388787,3.00323990299133,4.00040869120352,2.00243607340345,2.99730508989706,4.00010064898015,3.59985600375267,1.34596662094542,4.02005146418987,1.99857293690484,3.00080702315918,4.00029688615748,-1.98135513313529,4.27366864859315,0.953072059339686,1000,0.5
"3",3,0,2.00757975566373,2.99292331428925,3.99981474286997,1.99669311564197,3.00271294772715,4.00017572352958,3.72817658647303,1.18132394292399,4.02897828217597,2.00551632372856,2.99468482569875,3.99991414447661,-2.21092519204653,4.34521277104869,0.665573541051775,1000,0.5
"4",4,0,1.98973940820668,3.01210975643551,3.99953074111536,1.98930299695762,3.01167458659051,3.99963288378743,3.01989134505532,1.94798896357622,4.00800545063785,2.00138052085593,2.99855331736979,4.00001486760441,-2.50302388944034,4.4569499977255,0.51580383775769,1000,0.5
"5",5,0,2.00089353478132,2.99866226465567,4.00015748116422,2.00332025478184,2.99768858696207,3.99959923092113,2.62770710275092,2.25747277207111,4.03597574501218,2.00165098994799,2.99820570273231,4.00004883846684,-2.31002688844023,4.50841102874414,0.662287817351098,1000,0.5
"6",6,0,1.9983858235958,3.00177238961708,3.99997532481716,1.99838616392436,3.00177274697138,3.999977018013,2.86786934188094,1.65705526099418,4.12529275673095,1.99826319677777,3.00168818301614,4.00003873351309,-2.23848931162464,4.42548423182311,0.280198803320288,1000,0.5
"7",7,0,1.99080450264431,3.00915988656456,4.00001487334488,1.99369846912952,3.00760569691669,3.99957422868388,2.77457603164517,2.20434043960511,4.00652727573322,1.99167391524336,3.00848770759559,3.99994997270566,-2.13854928941675,4.39756610324546,1.02241279984297,1000,0.5
"8",8,0,1.99332864849241,3.00587291671403,4.00024713859147,1.99332837960886,3.00587266778106,4.00024635506446,2.58259907878038,2.33461370223466,4.02500625359161,1.99783848853649,3.00185081045372,4.00009660152907,-2.35488062327345,4.77108456475655,0.05864477002533,1000,0.5
"9",9,0,1.99969428670868,2.9999310990297,4.00010504935433,1.99980953731859,3.00004591659657,4.00007114687311,2.89569697973423,1.88971508504237,4.05937142507368,1.99919980240976,3.00120723477415,3.99988574004919,-2.44454115973021,4.63064695817937,0.664389265479667,1000,0.5
"10",10,0,2.00476447984842,2.99649838520791,3.99948285127531,2.00530190785869,2.99530989411353,3.99963124517992,4.02872178636164,0.879386766904855,4.01796918177374,2.00514543775293,2.99601025299517,3.99949614797088,-2.73682722146794,4.94900658864529,0.27491676651206,1000,0.5
